SP_ENTITY_NAME,SP_ENTITY_ID,RD_CREDIT_RATING_GLOBAL,RD_CREDIT_RATING_GLOBAL.1,SP_TICKER,SP_EXCHANGE,SP_ISIN,SP_GEOGRAPHY,SP_COUNTRY_NAME,SP_COUNTRY_CODE,IQ_INDUSTRY_GROUP
Bright Horizons Family Solutions Inc. (NYSE:BFAM),4067324,BB-,BB-,BFAM,NYSE,US1091941005,United States and Canada,USA,US,Consumer Services
"Brighthouse Financial, Inc. (NASDAQGS:BHF)",6588911,BBB+,BBB+,BHF,NASDAQGS,US10922N1037,United States and Canada,USA,US,Insurance
BrightSphere Investment Group Inc. (NYSE:BSIG),4547048,BB+,BB+,BSIG,NYSE,US10948W1036,United States and Canada,USA,US,Financial Services
"Brinker International, Inc. (NYSE:EAT)",4915571,BB-,BB-,EAT,NYSE,US1096411004,United States and Canada,USA,US,Consumer Services
Bristol-Myers Squibb Company (NYSE:BMY),4623856,A,A,BMY,NYSE,US1101221083,United States and Canada,USA,US,"Pharmaceuticals, Biotechnology and Life Sciences"
Bristow Group Inc. (NYSE:VTOL),4010845,B,B,VTOL,NYSE,US11040G1031,United States and Canada,USA,US,Energy
Brixmor Property Group Inc. (NYSE:BRX),4400077,BBB,BBB,BRX,NYSE,US11120U1051,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
Broadcom Inc. (NASDAQGS:AVGO),4970473,BBB,BBB,AVGO,NASDAQGS,US11135F1012,United States and Canada,USA,US,Semiconductors and Semiconductor Equipment
"Broadridge Financial Solutions, Inc. (NYSE:BR)",4157226,BBB,BBB,BR,NYSE,US11133T1034,United States and Canada,USA,US,Commercial and Professional Services
"Broadstone Net Lease, Inc. (NYSE:BNL)",5797703,BBB,BBB,BNL,NYSE,US11135E2037,United States and Canada,USA,US,Equity Real Estate Investment Trusts (REITs)
"Brown & Brown, Inc. (NYSE:BRO)",103448,BBB-,BBB-,BRO,NYSE,US1152361010,United States and Canada,USA,US,Insurance
Brown-Forman Corporation (NYSE:BF.B),4086734,A-,A-,BFB,NYSE,US1156372096,United States and Canada,USA,US,"Food, Beverage and Tobacco"
"BRP Group, Inc. (NASDAQGS:BRP)",4960115,B-,B-,BRP,NASDAQGS,US05589G1022,United States and Canada,USA,US,Insurance
Brunswick Corporation (NYSE:BC),4558091,BBB-,BBB-,BC,NYSE,US1170431092,United States and Canada,USA,US,Consumer Durables and Apparel
"Builders FirstSource, Inc. (NYSE:BLDR)",4073448,BB,BB,BLDR,NYSE,US12008R1077,United States and Canada,USA,US,Capital Goods
Bumble Inc. (NASDAQGS:BMBL),5313667,B,B,BMBL,NASDAQGS,US12047B1052,United States and Canada,USA,US,Media and Entertainment
Bunge Global SA (NYSE:BG),4500439,BBB+,BBB+,BG,NYSE,CH1300646267,United States and Canada,USA,US,"Food, Beverage and Tobacco"
"Burlington Stores, Inc. (NYSE:BURL)",4911216,BB+,BB+,BURL,NYSE,US1220171060,United States and Canada,USA,US,Consumer Discretionary Distribution and Retail
"BWX Technologies, Inc. (NYSE:BWXT)",4082835,BB,BB,BWXT,NYSE,US05605H1005,United States and Canada,USA,US,Capital Goods
"C.H. Robinson Worldwide, Inc. (NASDAQGS:CHRW)",4095936,BBB+,BBB+,CHRW,NASDAQGS,US12541W2098,United States and Canada,USA,US,Transportation
"Cable One, Inc. (NYSE:CABO)",4137149,BB,BB,CABO,NYSE,US12685J1051,United States and Canada,USA,US,Media and Entertainment
